######################################################################################################################;;;
#Scenario;;;
######################################################################################################################;;;
LOR;Лотарингия;X;
LOR_ADJ;Лотарингск.;X;
#########################################################;;;
# low countries;;;
#########################################################;;;
FRI;Фрисландия;X;
FRI_ADJ;Фрисландск.;X;
UTR;Утрехт;X;
UTR_ADJ;Утрехтск.;X;
LIG;Льеж;X;
LIG_ADJ;Льежск.;X;
HLD;Голландия;X;
HLD_ADJ;Голландск.;X;
BRB;Брабант;X;
BRB_ADJ;Брабантск.;X;
HIN;Геннегау;X;
HIN_ADJ;Геннегск.;X;
GEL;Гелре;X;
GEL_ADJ;Гелренск.;X;
#########################################################;;;
# Germany;;;
#########################################################;;;
MUN;Мюнстер;X;
MUN_ADJ;Мюнстерск.;X;
BRN;Бранденбург;X;
BRN_ADJ;Бранденбургск.;X;
THU;Тюрингия;X;
THU_ADJ;Тюрингск.;X;
MAG;Магдебург;X;
MAG_ADJ;Магдебургск.;X;
MIN;Минден;X;
MIN_ADJ;Минденск.;X;
MAI;Майнц;X;
MAI_ADJ;Майнцск.;X;
WBG;Вюрцбург;X;
WBG_ADJ;Вюрцбургск.;X;
NUR;Нюрнберг;X;
NUR_ADJ;Нюрнбергск.;X;
SLZ;Зальцбург;X;
SLZ_ADJ;Зальцбургск.;X;
TIR;Тироль;X;
TIR_ADJ;Тирольск.;X;
PAL;Пфальц;X;
PAL_ADJ;Пфальцск.;X;
TRR;Трир;X;
TRR_ADJ;Трирск.;X;
CLE;Клеве;X;
CLE_ADJ;Клевск.;X;
AAC;Ахен;X;
AAC_ADJ;Ахенск.;X;
KOL;Кельн;X;
KOL_ADJ;Кельнск.;X;
HSS;Гессен;X;
HSS_ADJ;Гессенск.;X;
HSA;Ганза;X;
HSA_ADJ;Ганзейск.;X;
ANS;Ансбах;X;
ANS_ADJ;Ансбахск.;X;
ALS;Эльзас;X;
ALS_ADJ;Эльзаск.;X;
LUN;Люнебург;X;
LUN_ADJ;Люнебургск.;X;
LAU;Саксен-Лауэнбург;X;
LAU_ADJ;Лауэнбургск.;X;
MES;Мейсен;X;
MES_ADJ;Мейсенск.;X;
ULM;Ульм;X;
ULM_ADJ;Ульмск.;X;
THU;Тюрингия;X;
THU_ADJ;Тюрингск.;X;
POM;Померания;X;
POM_ADJ;Померанск.;X;
AUG;Аугсбург;X;
AUG_ADJ;Аугсбургск.;X;
#########################################################;;;
# United Kingdom;;;
#########################################################;;;
MNS;Манстер;X;
MNS_ADJ;Манстерск.;X;
ULS;Ульстер;X;
ULS_ADJ;Ульстерск.;X;
CNN;Коннахт;X;
CNN_ADJ;Коннахтск.;X;
LEN;Ленстер;X;
LEN_ADJ;Ленстерск.;X;
ENL;Англия;X;
ENL_ADJ;Англиск.;X;
TYR;Тирон;X;
TYR_ADJ;Тиронск.;X;
#########################################################;;;
# Eastern Europe;;;
#########################################################;;;
BHM;Богемия;X;
BHM_ADJ;Богемск.;X;
#########################################################;;;
#;;;
#########################################################;;;
GZK;Казикумух;X;
GZK_ADJ;Казикумухск.;X;
SHR;Ширван;X;
SHR_ADJ;Ширванск.;X;
MIL;Милан;X;
MIL_ADJ;Миланск.;X;
GEN;Генуя;X;
GEN_ADJ;Генуэзск.;X;
SAV;Савойя;X;
SAV_ADJ;Савойск.;X;
NAP;Неаполь;X;
NAP_ADJ;Неаполитанск.;X;
TBZ;Трапезунд;X;
TBZ_ADJ;Трапезундск.;X;
######################################################################################################################;;;
# Decision;;;
######################################################################################################################;;;
unite_russia_title;Объединить Россию;X
unite_russia_desc;После длительного периода раздробленности настало время вновь объединить Русь под единой рукой.;X
integrate_tver_title;Присоединить Тверь;X
integrate_tver_desc;Великое княжество Тверское проводило независимую от Москвы политику, часто вступая в союзы против Москвы. Соперничество межу Московским княжеством и Тверским завершилось при московском князе Иване III, воспользовавшимся недовольством тверских удельных князей и бояр и нанесшим удар по самостоятельности своего союзника. Тверь была взята войсками Ивана III 12 сентября 1485 г.;X
######################################################################################################################;;;
# Governments;;;
######################################################################################################################;;;
theocracy_government;Теократия;X;
theocracy_government_ruler;О, Великий;X;
merchant_republic;Торговая республика;X;
merchant_republic_ruler;Наместник;X;
